Title,No. of answers,No. of views,No. of votes,Users,Reputation,Time_stamp,Summary
Is |R∞|=|R| [duplicate],1,58,0,real-analysis,"1,267",2023,"Is |R∞|=|R|

I started reading Rudin's principle of mathematical analysis and I read this theorem

2.13 Theorem Let A be a countable set, and let Bn be the set of ..."
Find PMF for a function of random variable,1,36,0,probability,13,2023,"Let Y=XX+1
where:

Y and X are random variables,
fX(x) is the probability mass function (PMF) of X, defined as:
$ f_X(x) = \frac{1}{3} \left(\frac{2}{3}\right)^x \cdot \mathbf{..."
Does Bezout' lemma imply the following?,0,68,0,elementary-number-theory,315,2023,"Let y,t be relatively prime nonzero integers.
Then as per Bezout's lemma, there are infinitely many integers a,b such that
at+by=1
Let x be an arbitrary positive integer. Then we have
$$t(ax+..."
Another box of counters probability question,0,42,0,probability,101,2023,"Is this problem solvable, if so what is the answer?
A box of counters contains 16 balls: 4 red; 5 yellow and 7 blue.
If one more ball is added to the box, I would then have a 1 in 4 chance of picking ..."
Is this inequality related to |logζ(s)| wrong?,1,89,1,complex-analysis,485,2023,"This is a doubt in the Littlewood's first estimate(in which it is assumed that Riemann hypothesis is true)  given in this book, page 433.
Let s=σ+it and δ such that $\frac12 + \..."
Solving a question about equivalent norms,1,77,0,linear-algebra,113,2023,"I have been trying to check whether the topologies induced by two norms on Hilbert space are different. So I thought by checking (topological) equivalence of the two norms, I could solve the problem: ..."
Implementing the π BBP algorithm,0,74,0,real-analysis,245,2023,"The formula
π=∞∑k=0116k(48k+1−28k+4−18k+5−18k+6)
is a basis of the BBP algorithm for calculating arbitrary ..."
Four different positive integers whose reciprocals sum to 1,1,28,0,egyptian-fractions,"1,757",2023,"https://oeis.org/A006585 says

The 6 solutions for n=4 are 2,3,7,42; 2,3,8,24; 2,3,9,18; 2,3,10,15; 2,4,5,20; 2,4,6,12.

How would one prove 42 is indeed the largest here? And/or this list is ..."
What is the symmetry group S3 asked in this question my professor gave us?,1,87,0,group-theory,91,2023,"We are following the book Abstract Algebra: An Introduction by W. Hungerford in my Group Theory class and my professor asked this exact question on the quiz:
$S_3 = \langle a, b \mid a^3 = b^2 = 1, ..."
Minimal length in the free homotopy class as translation length,0,22,3,metric-spaces,"1,005",2023,"Let M be a compact Riemannian manifold. The fundamental group π1(M,p0) is isomorphic to the group of deck transformations of the universal cover π:˜M→M. The translation ..."
Precedure to generate a inverse for a not square matrix,1,33,0,linear-algebra,372,2023,"We know that if a matrix is m∗n which m=n then it has an inverse if its full rank.
But the interesting fact for me is about non-square matrixes, which m≠n, and also I searched on the whole ..."
Holomorphic function extending the conjugation on a line,0,27,0,complex-analysis,299,2023,"One of the first examples of a (real smooth) non holomorphic function on C is complex conjugation: f(z)=¯z is never holomorphic. My question is the following.
Is there a ..."
